motion_id,pure_motion_id,scene_id,scene_trans_x,scene_trans_y,scene_trans_z,object_id,object_label,object_semantic_label,action,text
000000,000122_b9fa1c75-98e9-4be4-91d7-6af4fc4275ad,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000001,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0000_00,-4.11121502,-4.17789347,-0.06122726,34,coffee table,7,lie,lie on the coffee table
000002,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000003,001810_c71dc702-1f1d-4381-895c-f07e9a10876b,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000004,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000005,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000006,007726_38073ee7-506f-4193-9f0a-bb9299823bf7,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000007,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000008,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0000_00,-4.11121502,-4.17789347,-0.06122726,37,bed,4,lie,lie on the bed
000009,002684_283ab8a7-a444-4445-a05a-928827f37610,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the cabinet
000010,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0005_00,-2.47896711,-2.55113108,-0.08370856,9,table,7,lie,lie on the table that is far from the tv
000011,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is close to the cabinet
000012,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0005_00,-2.47896711,-2.55113108,-0.08370856,9,table,7,lie,lie on the table that is far away from the tv
000013,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the cabinet
000014,007506_7471ab7e-d900-4056-9299-837b7a60a98b,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the tv
000015,008000_7e6a9b72-5062-4075-9927-d25959b214c4,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is close to the cabinet
000016,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0005_00,-2.47896711,-2.55113108,-0.08370856,9,table,7,lie,lie on the table that is far from the tv
000017,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is close to the cabinet
000018,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0005_00,-2.47896711,-2.55113108,-0.08370856,9,table,7,lie,lie on the table that is far away from the tv
000019,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the tv
000020,012692_9e491be4-50b1-406f-b878-bf0c08e241e4,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is close to the cabinet
000021,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the tv
000022,013197_c929646d-31cb-4142-b221-10853c877474,scene0005_00,-2.47896711,-2.55113108,-0.08370856,9,table,7,lie,lie on the table that is far away from the tv
000023,013197_c929646d-31cb-4142-b221-10853c877474,scene0005_00,-2.47896711,-2.55113108,-0.08370856,10,table,7,lie,lie on the table that is near the tv
000024,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is near the table
000025,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is far away from the shoes
000026,001810_c71dc702-1f1d-4381-895c-f07e9a10876b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is far away from the backpack
000027,001810_c71dc702-1f1d-4381-895c-f07e9a10876b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is close to the door
000028,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is farthest from the door
000029,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is far away from the table
000030,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is near the table
000031,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is close to the door
000032,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is farthest from the door
000033,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is farthest from the shoes
000034,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is near the table
000035,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is farthest from the shoes
000036,007580_a3ff6f8b-f955-45f3-902d-c2149b71a36b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is closer to the table
000037,007580_a3ff6f8b-f955-45f3-902d-c2149b71a36b,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is near the backpack
000038,008000_5d08bde3-ac65-45ad-b15b-6f3e6b3da209,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is far away from the backpack
000039,008000_5d08bde3-ac65-45ad-b15b-6f3e6b3da209,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is close to the door
000040,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is close to the bag
000041,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is farthest from the shoes
000042,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0006_00,-2.52268034,-4.19362875,-0.07443420,1,bed,4,lie,lie on the bed that is far away from the door
000043,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0006_00,-2.52268034,-4.19362875,-0.07443420,2,bed,4,lie,lie on the bed that is near the door
000044,003533_e46f4eac-f0f6-485d-b06f-1e089542bcf2,scene0011_00,-5.08438777,-3.46902775,-0.07288768,2,table,7,lie,lie on the table that is in the center of the armchair and the kitchen counter
000045,007506_7471ab7e-d900-4056-9299-837b7a60a98b,scene0011_00,-5.08438777,-3.46902775,-0.07288768,2,table,7,lie,lie on the table that is in the center of the armchair and the kitchen counter
000046,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0011_00,-5.08438777,-3.46902775,-0.07288768,2,table,7,lie,lie on the table that is in the center of the armchair and the kitchen counter
000047,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0011_00,-5.08438777,-3.46902775,-0.07288768,2,table,7,lie,lie on the table that is in the center of the armchair and the kitchen counter
000048,013197_c929646d-31cb-4142-b221-10853c877474,scene0011_00,-5.08438777,-3.46902775,-0.07288768,2,table,7,lie,lie on the table that is in the center of the armchair and the kitchen counter
000049,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000050,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
